Stock Name,NSE Code,BSE Code,Stock Code,ISIN,Industry Name,sector_name,Current Price,Trendlyne Momentum Score,Trendlyne Valuation Score,is_buyable,Market Capitalization,Prev Week Trendlyne Momentum Score,Is Stock In PE Buy Zone,buy_intensity,Is Stock in PE Sell Zone,Week change %,%Days traded below current PE Price to Earnings,Month Change %,Trendlyne Durability Score,Prev Day Change %,Day change %,Revenue QoQ Growth %,Forecaster Estimates 1Y forward PEG,PEG TTM PE to Growth
IL&FS Engineering & Construction Company Ltd.,IL&FSENGG,532907,IL&FSENGG,INE369I01014,Construction & Engineering,Cement and Construction,29.72,37.67,10.33,2696.82,389.69,36.31,,1050928.92,,10.98,,4.83,,4.97,4.98,32.29,Export NA,-2.31
IL&FS Investment Managers Ltd.,IVC,511208,IVC,INE050B01023,Asset Management Cos.,Banking and Finance,8.09,40.73,38.17,9429.53,254.05,49.82,6.34,2395594.62,6.34,-11.1,6.34,4.25,,0.62,-0.98,,Export NA,0.13
IRIS Business Services Ltd.,IRIS,540735,IRIS,INE864K01010,IT Software Products,Software & Services,319.65,40.73,32.33,7673.98,657.46,45.46,17.73,5045355.6,17.73,-0.33,17.73,0.53,65,-0.39,-0.78,-4.34,Export NA,-81.37
IRIS Clothings Ltd.,IRISDOREME,,IRISDOREME,INE01GN01025,Textiles,Textiles Apparels & Accessories,32.76,58.17,30.33,20061.58,623.53,68.71,67.18,12508914.6,67.18,-2.82,67.18,-3.73,65,-0.18,-0.76,18.52,Export NA,2.88
IRM Energy Ltd.,IRMENERGY,544004,IRMENERGY,INE07U701015,Utilities:Non-Electrical,Utilities,289.2,42.68,47.83,11080.45,1187.45,43.91,88.08,13157443.2,88.08,-7.1,88.08,-8.67,55,-1.08,-0.21,-1.16,Export NA,-0.82
IST Ltd.,,508807,ISTLTD,INE684B01029,Auto Parts & Equipment,Automobiles & Auto Components,802.4,42.92,42.17,216.05,935.93,42.85,59.11,202204.8,59.11,-3.94,59.11,-8.33,55,0.5,-0.09,-2.4,Export NA,-0.66
ITCONS E-Solutions Ltd.,,543806,ITCONS,INE0O6A01019,Misc. Commercial Services,Commercial Services & Supplies,573.1,56.59,18.17,23103.71,337.36,49.74,93.57,7794160,93.57,4.13,93.57,-4.2,,1.19,-1.22,,Export NA,
IZMO Ltd.,IZMO,532341,IZMO,INE848A01014,IT Consulting & Software,Software & Services,897.65,74.99,27,24867.59,1342.31,74.02,98.76,33380012.9,98.76,-10.49,98.76,6.51,70,-3.87,2.03,6.37,Export NA,-1.09
Iconik Sports and Events Ltd.,,511260,ICONIKSPEV,INE088P01015,Other Financial Services,Banking and Finance,68.76,23.97,39.67,5969.21,232.7,32.97,40.91,1389020.76,40.91,-1.7,40.91,2.17,,0.4,0.2,,Export NA,0.01
Igarashi Motors India Ltd.,IGARASHI,517380,IGARASHI,INE188B01013,Auto Parts & Equipment,Automobiles & Auto Components,473.3,38.44,40.67,64827.64,1489.71,31.84,82.17,96574498.5,82.17,6.48,82.17,-5.05,70,-4.01,1.99,7.05,Export NA,-2.99
