Stock Name,NSE Code,BSE Code,Stock Code,ISIN,Industry Name,sector_name,Current Price,Trendlyne Momentum Score,Trendlyne Valuation Score,is_buyable,Market Capitalization,Prev Week Trendlyne Momentum Score,Is Stock In PE Buy Zone,buy_intensity,Is Stock in PE Sell Zone,Week change %,%Days traded below current PE Price to Earnings,Month Change %,Trendlyne Durability Score,Prev Day Change %,Day change %,Revenue QoQ Growth %,Forecaster Estimates 1Y forward PEG,PEG TTM PE to Growth
Menon Bearings Ltd.,MENONBE,523828,MENONBE,INE071D01033,Auto Parts & Equipment,Automobiles & Auto Components,108.78,39.86,44,4591.9,609.6,48.9,1.41,2799235.74,1.41,-5.85,1.41,-12.82,60,0.9,-1.56,-6.99,Export NA,1.6
Menon Pistons Ltd.,,531727,MENNPIS,INE650G01029,Auto Parts & Equipment,Automobiles & Auto Components,57.38,41.14,52.67,2813.92,292.64,43.3,38.75,823460.38,38.75,-2.56,38.75,-9.28,55,1.86,-1.29,-7.15,Export NA,-5.18
Mercantile Ventures Ltd.,,538942,MERCANTILE,INE689O01013,Misc. Commercial Services,Commercial Services & Supplies,24.28,44.89,49.33,359.28,271.74,48.17,61.29,97629.88,61.29,-3.88,61.29,-17.41,70,5.4,-3.61,11.56,Export NA,0
Mercury Ev-Tech Ltd.,,531357,MERCURYEV,INE763M01028,Cars & Utility Vehicles,Automobiles & Auto Components,40.86,35.21,34.17,8498.99,776.23,26.28,22.77,6597173.88,22.77,7.08,22.77,-3.08,60,0.76,-0.97,50.69,Export NA,0.41
Meta Infotech Ltd.,,544441,METAINFO,INE162901016,IT Consulting & Software,Software & Services,136.2,24.38,24.5,14829.41,257.16,23.25,1.85,3813600,1.85,-1.23,1.85,-2.47,,3.91,0.48,,Export NA,
Mindteck (India) Ltd.,MINDTECK,517344,MINDTECK,INE110B01017,IT Consulting & Software,Software & Services,210.4,42.5,45.17,9800.9,672.32,45.53,53.34,6589307.2,53.34,-3.31,53.34,-22.13,65,-0.21,-1.82,0.33,Export NA,1.75
Mini Diamonds (India) Ltd.,,523373,MINID,INE281E01010,Gems & Jewellery,Textiles Apparels & Accessories,140,38.87,33.5,20162.84,329.97,40.14,91.5,6653080,91.5,-1.37,91.5,-2.98,50,0.71,-0.85,48.76,Export NA,-2.77
Mirza International Ltd.,MIRZAINT,526642,MIRZAINT,INE771A01026,Footwear,Retailing,38.59,65.73,45.17,13057.71,533.32,66.41,81.26,6963951.4,81.26,-2.94,81.26,2.93,45,-2.22,-1.78,15.66,Export NA,-2.91
Mishtann Foods Ltd.,,539594,MISHTANN,INE094S01041,Other Agricultural Products,"Food, Beverages & Tobacco",4.74,35.11,47,14570.13,510.79,34.86,2.62,7442255.04,2.62,-5.2,2.62,-8.49,,0.21,-1.25,0.11,Export NA,-0.18
Mizzen Ventures Ltd.,,531537,MIZVEN,INE681K01026,Misc. Commercial Services,Commercial Services & Supplies,126.2,20.62,25.5,4217.13,267.35,22.53,4.8,1127470.8,4.8,2.02,4.8,-39.34,,4.77,0.8,-2.83,Export NA,1.09
Mkventures Capital Ltd.,,514238,MKVENTURES,INE874A01010,Other Financial Services,Banking and Finance,1219.9,32.42,33,119.69,468.86,31.56,77.09,56115.4,77.09,0.82,77.09,-10.93,,-2.29,3.5,0.62,Export NA,-0.97
Mobavenue AI Tech Ltd.,,539682,MOBAVENUE,INE622Q01019,Education,Diversified Consumer Services,1180,70.18,25.5,14366,1770,49.33,7.35,25427820,7.35,18.83,7.35,12.35,,4.43,-4.05,-11.87,Export NA,0.38
Modern Insulators Ltd.,,515008,MODINSU,INE219W01012,Other Electrical Equipment/Products,Consumer Durables,168.9,64.89,49.17,2698.55,796.26,70.04,79.31,2148745.8,79.31,-4.01,79.31,0.3,60,-2.84,-0.21,24.84,Export NA,2.39
Modi Naturals Ltd.,,519003,MODINATUR,INE537F01012,Other Agricultural Products,"Food, Beverages & Tobacco",423.2,31.44,61.83,1028.83,563.13,41.41,0.16,579360.8,0.16,-2.78,0.16,4.97,85,0.86,-1.7,-5.19,Export NA,0.08
Modi Rubber Ltd.,MODIRUBBER,500890,MODIRUBBER,INE832A01018,Auto Tyres & Rubber Products,Automobiles & Auto Components,110.11,40.72,31.83,1537.91,275.72,44.41,87.95,424033.61,87.95,-3.34,87.95,-15.71,50,1.53,-2.05,9.97,Export NA,-0.71
Modis Navnirman Ltd.,,543539,MODIS,INE0L0L01012,Realty,Realty,362,61.07,2.83,2882.42,709.2,70.49,,2044214,,-4.86,,19.2,,-2.12,-0.07,,Export NA,
Modison Ltd.,MODISONLTD,506261,MODISONLTD,INE737D01021,Other Electrical Equipment/Products,Consumer Durables,141.64,37.24,49,17578.12,459.62,48.13,37.33,8079287.24,37.33,-4.12,37.33,-7.46,55,0.25,-0.85,8.22,Export NA,0.23
Mold-Tek Technologies Ltd.,MOLDTECH,526263,MOLDTECH,INE835B01035,Construction & Engineering,Cement and Construction,166.25,51.45,36.33,17299.02,478.88,50.81,99.68,8284237.5,99.68,-2.26,99.68,-17.59,50,4.66,-2.79,20.85,Export NA,-1.85
Monarch Surveyors and Engineering Consultants Ltd.,,544453,MSECL,INE0V0L01028,Consulting Services,Commercial Services & Supplies,232.3,18.27,36.5,17377.79,328.84,25.05,85.71,5714580,85.71,-9.43,85.71,-7.15,,-3,-2.23,,Export NA,
Moneyboxx Finance Ltd.,,538446,MONEYBOXX,INE296Q01012,Finance (including NBFCs),Banking and Finance,138.1,30.71,19,1038.68,450.73,30.36,,468159,,-0.11,,-18.24,40,1.7,0.33,-6.83,Export NA,0.72
Monika Alcobev Ltd.,,544451,MONIKA,INE0LCG01010,Breweries & Distilleries,"Food, Beverages & Tobacco",289.65,23.23,22.17,2051.28,621.3,24.78,100,1274460,100,-0.86,100,-1.6,,-3.57,1.13,,Export NA,
Monolithisch India Ltd.,MONOLITH,,MONOLITH,INE1DV401010,Electrodes & Refractories,General Industrials,548.2,29.27,19.67,25303.64,1191.57,36.64,100,30151000,100,-1.12,100,25.52,,-1.52,0.44,,Export NA,
Monte Carlo Fashions Ltd.,MONTECARLO,538836,MONTECARLO,INE950M01013,Other Apparels & Accessories,Textiles Apparels & Accessories,768.8,59.1,53.5,22856.34,1593.88,67.05,70.16,36430356.8,70.16,-7.91,70.16,10.52,70,-1.04,-2.24,79.53,Export NA,0.31
Morganite Crucible (India) Ltd.,,523160,MORGANITE,INE599F01020,Other Industrial Goods,General Industrials,1555.75,54.99,33.83,5319.64,871.22,56.6,73.04,4634579.25,73.04,-0.75,73.04,-0.9,55,0.68,0.34,7.96,Export NA,7.59
Motisons Jewellers Ltd.,MOTISONS,544053,MOTISONS,INE0FRK01020,Gems & Jewellery,Textiles Apparels & Accessories,17.12,39.97,35.17,25254.89,1685.4,39.32,15.24,42564480.16,15.24,7.81,15.24,2.09,75,1.92,0.71,3.93,Export NA,0.66
Mufin Green Finance Ltd.,,542774,MUFIN,INE08KJ01020,Finance (including NBFCs),Banking and Finance,111.05,61.95,22.33,493.96,1923.73,61.81,64.44,950254.85,64.44,0.23,64.44,14.4,40,0.9,-0.98,9.3,Export NA,-281.46
Mukand Ltd.,MUKANDLTD,500460,MUKANDLTD,INE304A01026,Iron & Steel/Interm.Products,Metals & Mining,134.14,48.97,51.17,8716.74,1938.26,48.19,98.61,16895335.42,98.61,-1.1,98.61,1.25,50,0.66,-0.37,2.83,Export NA,-0.87
Mukka Proteins Ltd.,MUKKA,544135,MUKKA,INE0CG401037,Other Food & Beverages,"Food, Beverages & Tobacco",25.29,36.93,43.17,5068.1,758.7,37.76,24.36,3845167.47,24.36,3.61,24.36,0.56,55,1.25,0.56,43.22,Export NA,2.14
Multibase India Ltd.,,526169,MULTIBASE,INE678F01014,Specialty Chemicals,Chemicals & Petrochemicals,218.4,30.65,35.33,1703.65,275.62,30.42,13.2,469560,13.2,-7.06,13.2,-9.4,60,0.65,0.51,10.57,Export NA,-1.07
Munish Forge Ltd.,MUNISH,,MUNISH,INE1K8Y01018,Castings & Forgings,General Industrials,109.25,21.25,28,29912.38,262.97,13.19,,7866000,,-2.15,,-12.49,,-0.62,-2.11,,Export NA,
Munjal Auto Industries Ltd.,MUNJALAU,520059,MUNJALAU,INE672B01032,Auto Parts & Equipment,Automobiles & Auto Components,83.82,43.17,46.17,36342.3,838.2,45.95,61.57,30462115.86,61.57,-3.41,61.57,-7.31,60,-0.87,2.76,18.95,Export NA,-1.19
Munjal Showa Ltd.,MUNJALSHOW,520043,MUNJALSHOW,INE577A01027,Auto Parts & Equipment,Automobiles & Auto Components,128.16,41.37,52.67,22700.59,512.58,41.68,74.08,11635774.56,74.08,1.61,74.08,0.26,65,-0.31,2.96,16.29,Export NA,-1.33
Murudeshwar Ceramics Ltd.,MURUDCERA,515037,MURUDCERA,INE692B01014,Ceramics,Consumer Durables,36.37,42.94,58.17,6504.22,220.2,44,0.65,1432250.6,0.65,-2.52,0.65,-19.73,70,0.17,0.53,-1.25,Export NA,0.75
Music Broadcast Ltd.,RADIOCITY,540366,RADIOCITY,INE919I01024,Broadcasting & Cable TV,Media,6.62,37.18,38,3929.67,228.84,30.54,,899280.66,,-3.78,,-19.37,50,-0.89,-1.34,-23.28,Export NA,0.01
Muthoot Capital Services Ltd.,MUTHOOTCAP,511766,MUTHOOTCAP,INE296G01013,Finance (including NBFCs),Banking and Finance,272.15,33.11,39.17,12411,447.62,33.1,88.8,5555397.95,88.8,-0.73,88.8,-0.04,40,0.96,0,5.66,Export NA,-0.4
N R Agarwal Industries Ltd.,NRAIL,516082,NRAIL,INE740D01017,Paper & Paper Products,Commercial Services & Supplies,466.55,64.91,54.33,11179.2,794.03,73.02,99.49,8876580.3,99.49,-6.7,99.49,5.01,55,-2.26,-1.9,16.04,Export NA,-0.59
NBI Industrial Finance Company Ltd.,NBIFIN,,NBIFIN,INE365I01020,Finance (including NBFCs),Banking and Finance,2306,33.66,32.67,243.67,681.38,35.54,27.55,166032,27.55,-3.94,27.55,-11.82,,-0.04,1.29,1953.28,Export NA,0.52
NCL Industries Ltd.,NCLIND,502168,NCLIND,INE732C01016,Cement & Cement Products,Cement and Construction,199.66,30.63,52.67,6279.96,903.12,48.01,72.86,5671541.96,72.86,-2.99,72.86,0.16,45,-1.47,-0.19,1.94,Export NA,-0.83
NDL Ventures Ltd.,NDLVENTURE,500189,NDLVENTURE,INE353A01023,Broadcasting & Cable TV,Media,98.83,70.52,20.5,8802.97,332.78,59.98,99.15,2929420.03,99.15,15.47,99.15,15.7,,-0.95,1.73,,Export NA,-14.46
NGL Fine - Chem Ltd.,NGLFINE,524774,NGLFINE,INE887E01022,Pharmaceuticals,Pharmaceuticals & Biotechnology,1340.9,48.27,39.33,2170.61,828.41,48.29,79.88,1798146.9,79.88,-3.66,79.88,-11.88,55,0.38,0.57,15.43,Export NA,-0.8
NIBE Ltd.,,535136,NIBE,INE149O01018,Aerospace & Defence,General Industrials,1088.15,38.74,28.67,1620.54,1577.96,31.76,99.21,2557152.5,99.21,-0.99,99.21,-13.37,65,-1.27,-1.19,-11.07,Export NA,-4.29
NIIT Ltd.,NIITLTD,500304,NIITLTD,INE161A01038,IT Training Services,Software & Services,96.17,28.66,35.17,9908.94,1311.46,29.49,86.5,12995163.59,86.5,-2.53,86.5,-9.23,50,-0.72,-0.4,24.76,Export NA,-1.43
NSB BPO Solutions Ltd.,,544571,NSBBPO,INE0SLP01017,BPO/KPO,Software & Services,102.45,14.39,26,2002.74,204.62,12.89,,409800,,-1.63,,-9.38,,0,0,,Export NA,
NTC Industries Ltd.,,526723,NTCIND,INE920C01017,Cigarettes-Tobacco Products,"Food, Beverages & Tobacco",165.5,31.34,50.33,1452.58,240.29,31.84,37.73,349039.5,37.73,-5.7,37.73,-8.21,55,-3.26,-0.3,-26.17,Export NA,0.02
Naga Dhunseri Group Ltd.,NDGL,,NDGL,INE756C01015,Finance (including NBFCs),Banking and Finance,3473.2,31.94,42.67,490,347.32,33.76,89.39,170186.8,89.39,-3.05,89.39,-11.16,40,0.36,1.2,40.89,Export NA,-0.69
Nagarjuna Fertilizers and Chemicals Ltd.,NAGAFERT,539917,NAGAFERT,INE454M01024,Fertilizers,Fertilizers,4.59,31.12,16.67,2867.98,274.51,33.2,,787295.16,,-2.13,,-7.46,,0.88,0.44,,Export NA,0.11
Nahar Capital & Financial Services Ltd.,NAHARCAP,532952,NAHARCAP,INE049I01012,Investment Companies,Others,266.7,40.6,46.33,767.34,446.62,42.3,35.04,342709.5,35.04,-1.88,35.04,-8.8,,0.82,-1.55,164.14,Export NA,0.08
Nahar Industrial Enterprises Ltd.,NAHARINDUS,519136,NAHARINDUS,INE289A01011,Textiles,Textiles Apparels & Accessories,114.84,47.65,70.5,2520.97,496.17,40.13,49.06,1250837.28,49.06,0.45,49.06,0.63,60,-0.12,-1.43,-12.43,Export NA,0.13
Nahar Poly Films Ltd.,NAHARPOLY,523391,NAHARPOLY,INE308A01027,Plastic Products,General Industrials,259.5,40.56,66.67,1330.32,638.06,40.88,48.39,848824.5,48.39,-1.5,48.39,-12.06,95,-2.05,0.39,-12.43,Export NA,0.06
Nahar Spinning Mills Ltd.,NAHARSPING,500296,NAHARSPING,INE290A01027,Textiles,Textiles Apparels & Accessories,202.78,28.5,68.33,2231.51,731.33,29.52,81.37,1631973.44,81.37,0.17,81.37,-1.9,90,-0.45,0.03,-4.88,Export NA,0.09
Namo eWaste Management Ltd.,NAMOEWASTE,,NAMOEWASTE,INE08NZ01012,Electronic Components,Commercial Services & Supplies,187.05,47.9,21.17,3498.41,427.74,56.24,89.76,1496400,89.76,-1.97,89.76,-7.83,,3.03,-1.91,,Export NA,
Nandan Denim Ltd.,NDL,532641,NDL,INE875G01048,Textiles,Textiles Apparels & Accessories,3.11,31.01,60.83,6221.3,448.3,32.58,67.83,2788995.13,67.83,0,67.83,-7.44,70,-0.65,0.97,-25.1,Export NA,-0.45
Naperol Investments Ltd.,,500298,NAPEROL,INE585A01020,Commodity Chemicals,Chemicals & Petrochemicals,816,32.37,37.5,1759.18,468.96,34.04,61.4,824976,61.4,-4.45,61.4,-15.4,,-0.21,-1.82,-8.99,Export NA,0.06
Narmada Gelatines Ltd.,,526739,SHAWGELTIN,INE869A01010,Specialty Chemicals,Chemicals & Petrochemicals,350.55,41.31,59.5,709.14,212.07,39.19,39.78,150385.95,39.78,1.7,39.78,3.87,55,-0.96,1.8,11.89,Export NA,0.33
Nath Bio-Genes (India) Ltd.,NATHBIOGEN,537291,NATHBIOGEN,INE448G01010,Other Agricultural Products,"Food, Beverages & Tobacco",156.4,34.27,60.33,4036.52,297.22,34.33,0.77,1199744.4,0.77,-3.06,0.77,-7.85,30,1,-0.45,-84.54,Export NA,0.85
National Peroxide Ltd.,,544205,NPL,INE0PO601011,Specialty Chemicals,Chemicals & Petrochemicals,524,32.7,35,4506.7,301.14,33.82,,1357160,,-5.93,,-12.67,55,-2.85,-1.94,2.45,Export NA,0.3
Navkar Corporation Ltd.,NAVKARCORP,539332,NAVKARCORP,INE278M01019,Transport Related Services,Transportation,99.89,41.75,30.5,10707.67,1503.54,44.52,,16099371.19,,-4.35,,-16.99,50,-2.4,0.14,17.55,Export NA,71.94
Nectar Lifesciences Ltd.,NECLIFE,532649,NECLIFE,INE023H01027,Pharmaceuticals,Pharmaceuticals & Biotechnology,16.99,45.22,47.17,665891.71,381.02,28.41,,253717684.5,,19.9,,18.81,,-5.6,19.99,-98.22,Export NA,0
Neelamalai Agro Industries Ltd.,,508670,NEAGI,INE605D01012,Tea & Coffee,"Food, Beverages & Tobacco",3560.05,40.77,33.17,626.91,221.47,42.33,80.79,138841.95,80.79,-1.4,80.79,-2.5,,0,-1.11,-24.32,Export NA,-1.33
Neetu Yoshi Ltd.,,544434,NEETUYOSHI,INE0UZO01024,Castings & Forgings,General Industrials,116.65,16.98,24.83,19169.03,452.75,15.22,100,8678760,100,-0.04,100,-2.83,,-0.52,2.23,19.08,Export NA,
Nelcast Ltd.,NELCAST,532864,NELCAST,INE189I01024,Castings & Forgings,General Industrials,115.94,39.21,50,39130.95,1008.69,45.89,55.64,39471077.36,55.64,5.42,55.64,-6.85,60,2.26,4.32,-9.98,Export NA,-1.14
Nelco Ltd.,NELCO,504112,NELCO,INE045B01015,IT Networking Equipment,Hardware Technology & Equipment,845.95,32.23,23.83,24596.82,1930.32,32.94,98.99,47479789.7,98.99,-0.68,98.99,-0.63,55,0.16,-1.2,-0.62,Export NA,-5.66
Nephro Care India Ltd.,NEPHROCARE,,NEPHROCARE,INE0SUN01013,Healthcare Facilities,Healthcare,136.55,41.97,27.83,2911.49,225.12,50.07,27.17,655440,27.17,-8.29,27.17,-1.19,,-2,-1.97,,Export NA,
Neptune Petrochemicals Ltd.,NEPTUNE,,NEPTUNE,INE156901014,Petrochemicals,Chemicals & Petrochemicals,161.7,19.73,37.83,3531.46,366.31,27.76,100,1293600,100,-0.74,100,-2.18,,0,0.43,,Export NA,
New Delhi Television Ltd.,NDTV,532529,NDTV,INE155G01029,Broadcasting & Cable TV,Media,85.94,35.88,17.83,7341.48,969.62,38.43,,7118410.2,,0.21,,-8.12,30,0.41,0.74,13.58,Export NA,0.03
Nicco Parks & Resorts Ltd.,,526721,NICCOPAR,INE653C01022,Other Leisure Facilities,Diversified Consumer Services,86,36.99,33.17,152.35,402.48,30.15,94.37,61318,94.37,4.79,94.37,-14.47,60,0.87,1.33,-56.26,Export NA,-0.98
Nidhi Granites Ltd.,,512103,NIDHGRN,INE276H01013,Construction Materials,Cement and Construction,412.9,63.37,27.17,512.5,330.32,72.32,68.34,169289,68.34,0.79,68.34,-11.46,85,1.99,1.21,-33.46,Export NA,1.83
Nikhil Adhesives Ltd.,,526159,NIKHILAD,INE926C01022,Specialty Chemicals,Chemicals & Petrochemicals,93.25,46.44,39.5,7785.52,428.42,47.37,65.83,3335459.25,65.83,-7.72,65.83,-19.44,75,-1.2,-5.52,6.14,Export NA,-3.35
Nikita Greentech Recycling Ltd.,NIKITA,,NIKITA,INE0FLF01015,Paper & Paper Products,Commercial Services & Supplies,121.6,24.14,25.67,11675.09,299.96,16.99,56.91,3502080,56.91,-3.42,56.91,-12.42,,0,-5,,Export NA,
Nila Infrastructures Ltd.,NILAINFRA,530377,NILAINFRA,INE937C01029,Realty,Realty,10.01,40.89,57,11246.77,394.28,34.2,29.68,4434409.98,29.68,5.81,29.68,-2.34,70,5.19,0.7,-20.04,Export NA,0.75
Nila Spaces Ltd.,NILASPACES,542231,NILASPACES,INE00S901012,Realty,Realty,17.05,60.43,27.67,20015.4,671.58,53.83,79.64,13441964.25,79.64,-0.99,79.64,-6.52,55,4.99,-1.22,3.31,Export NA,-24.19
Nilachal Carbo Metalicks Ltd.,,544510,NCML,INE346R01013,Iron & Steel/Interm.Products,Metals & Mining,105.5,26.91,27,3851.25,262.98,22.43,100,1012800,100,0,100,-3.83,,2.87,-0.33,,Export NA,
Nile Ltd.,,530129,NILE,INE445D01013,Other Non-Ferrous Metals,Metals & Mining,1712.75,42.93,53.83,4883.57,514.15,51.96,23.65,2510891.5,23.65,-3.16,23.65,-3.12,60,1.61,0.28,11.69,Export NA,0.11
Nimbus Projects Ltd.,,511714,NIMBSPROJ,INE875B01015,Realty,Realty,273.5,50.94,8,4896.81,528.37,50.6,,2587310,,2.8,,-8.83,,1.5,-0.26,12.28,Export NA,0
Nintec Systems Ltd.,,539843,NINSYS,INE395U01014,IT Consulting & Software,Software & Services,415.35,31.12,40.33,943.15,771.55,34.57,3.1,727693.2,3.1,3.08,3.1,-7.47,70,-1.17,2.27,7.38,Export NA,0.73
Niraj Cement Structurals Ltd.,NIRAJ,532986,NIRAJ,INE368I01016,Construction & Engineering,Cement and Construction,37.13,42.26,54.5,13767.48,221.64,33.18,0.93,3051491.92,0.93,-3.76,0.93,10.74,55,-3.33,2.4,81.66,Export NA,0.2
Nisus Finance Services Co. Ltd.,,544296,NISUS,INE0DQN01013,Other Financial Services,Banking and Finance,319.9,34.82,23.5,22112.31,763.86,34.51,15.42,16890720,15.42,-0.85,15.42,-12.56,,1.83,-3.38,294.26,Export NA,
Nitin Castings Ltd.,,508875,NITINCAST,INE861H01020,Castings & Forgings,Metals & Mining,494.45,38.22,44.33,29.18,254.21,29.09,48.6,7416.75,48.6,-0.1,48.6,-2.48,55,-2.51,1.95,1.98,Export NA,-1.47
Nitin Spinners Ltd.,NITINSPIN,532698,NITINSPIN,INE229H01012,Textiles,Textiles Apparels & Accessories,329.1,39.64,60.67,4417.29,1850.2,50.28,73.64,8172869.4,73.64,-2.02,73.64,-2.63,90,-0.81,0.09,-4.19,Export NA,1.47
Nitta Gelatin India Ltd.,,506532,NITTAGELA,INE265B01019,Specialty Chemicals,Chemicals & Petrochemicals,825.9,52.72,65.33,1649.93,749.85,46.87,19.35,1237198.2,19.35,0.59,19.35,-3.03,70,0.48,0.6,-0.52,Export NA,0.02
Niyogin Fintech Ltd.,,538772,NIYOGIN,INE480D01010,Finance (including NBFCs),Banking and Finance,60.21,48.41,17.33,2112.99,668.3,47.46,,1412105.13,,-4.05,,-3.99,45,1.25,-2.54,-14.26,Export NA,-1.74
North Eastern Carrying Corporation Ltd.,NECCLTD,534615,NECCLTD,INE553C01016,Warehousing & Logistics,Transportation,20.09,31.02,39.5,5425.4,200.9,32.68,54.43,1089962.86,54.43,-2.24,54.43,-6.47,45,0.65,-0.59,2.38,Export NA,-0.71
Northern Spirits Ltd.,,542628,NSL,INE01BL01012,Commodity Trading  & Distribution,Commercial Services & Supplies,159.15,34.3,51.83,19824.06,255.45,31.12,2.51,5064153,2.51,-3.25,2.51,-1.73,60,-0.73,-2.33,5.35,Export NA,0.43
Nova Agritech Ltd.,NOVAAGRI,544100,NOVAAGRI,INE02H701025,Fertilizers,Fertilizers,43.03,33.59,38.17,7317.14,398.11,32.46,15.73,2913044.94,15.73,-4.02,15.73,-4.91,45,-1.1,-0.49,97.62,Export NA,-1.68
Novartis India Ltd.,,500672,NOVARTIND,INE234A01025,Pharmaceuticals,Pharmaceuticals & Biotechnology,807.75,32.19,42.67,2163.96,1994.4,40.86,9.25,4315808.25,9.25,-2.83,9.25,-5.9,80,-0.02,-0.48,3.18,Export NA,0.85
Nupur Recyclers Ltd.,NRL,,NRL,INE0JM501013,Commodity Trading  & Distribution,Commercial Services & Supplies,61.93,30.6,35.67,7980.43,427.74,32.5,3.86,3413581.6,3.86,-2.56,3.86,-8.2,60,-0.51,0.13,-4.37,Export NA,1.32
Nureca Ltd.,NURECA,543264,NURECA,INE0DSF01015,Healthcare Supplies,Healthcare,289.6,66.77,41,35673.29,289.61,42.68,56.19,10331190.4,56.19,11.56,56.19,-7.2,70,4.99,4.98,10.43,Export NA,0.29
Nutricircle Ltd.,,530219,NUTRICIRCLE,INE536C01029,Other Food & Beverages,"Food, Beverages & Tobacco",235,56.09,21.67,203,235,55.45,48.19,47705,48.19,9.3,48.19,11.9,,0,2.22,135.03,Export NA,1.94
OBSC Perfection Ltd.,OBSCP,,OBSCP,INE0YHV01011,Auto Parts & Equipment,Automobiles & Auto Components,343.3,70.1,22.33,26500.47,839.45,70.55,100,22245840,100,1.91,100,12.32,,5.31,-0.19,,Export NA,
OCCL Ltd.,,544278,OCCLLTD,INE0PK601023,Commodity Chemicals,Chemicals & Petrochemicals,102.45,46.83,66.67,1540.93,511.74,42.47,,788557.65,,-3.85,,-20.86,75,-1.44,-0.19,-2.8,Export NA,0.04
OK Play India Ltd.,,526415,OKPLA,INE870B01024,Specialty Retail,Retailing,7.19,35.08,32.5,6207.58,253.76,33.91,,1575221.15,,4.35,,8.12,25,1.29,1.99,-5.58,Export NA,0.16
Oil Country Tubular Ltd.,OILCOUNTUB,500313,OILCOUNTUB,INE591A01010,Oil Equipment & Services,Oil & Gas,65.27,38.9,28.5,10117.62,339.34,42.18,,3433267.27,,3.34,,-6.88,40,-0.16,2.06,-59.1,Export NA,-0.32
Om Freight Forwarders Ltd.,OMFREIGHT,544564,OMFREIGHT,INE1BZC01019,Warehousing & Logistics,Transportation,95.31,11.08,53.67,55440.17,320.96,10.91,28.57,17794091.07,28.57,0.56,28.57,0.9,60,-0.72,7.39,20.55,Export NA,
Om Infra Ltd.,OMINFRAL,531092,OMINFRAL,INE239D01028,Construction & Engineering,Cement and Construction,109.19,41.25,34.5,6977.19,1051.54,32.05,76.23,7336803.67,76.23,-0.95,76.23,-5.23,60,1.28,0.89,18.64,Export NA,-85.19
Omansh Enterprises Ltd.,,538537,OMANSH,INE378P01036,Commodity Trading  & Distribution,Commercial Services & Supplies,167.55,77.07,0,170.01,293.68,77.17,,49929.9,,0.96,,20.53,,0.97,0.96,,Export NA,-30.15
Omaxe Ltd.,OMAXE,532880,OMAXE,INE800H01010,Realty,Realty,69.66,32.33,28.83,4424.48,1274.08,35.68,,5637165.84,,-1.33,,-14.05,,1.04,-0.1,13.67,Export NA,0.25
Omnitex Industries (India) Ltd.,,514324,OMNITEX,INE814D01010,Textiles,Textiles Apparels & Accessories,555,76.61,27.83,2090.82,233.33,59.06,99.82,487845,99.82,12.58,99.82,-5.89,,0.73,-1.97,-40.17,Export NA,-9.93
OnMobile Global Ltd.,ONMOBILE,532944,ONMOBILE,INE809I01019,Other Telecom Services,Telecom Services,57.5,46.26,43,12495.7,611.35,49.42,78.68,7639220,78.68,-3.86,78.68,-22.04,50,-0.72,-0.23,2.26,Export NA,0.55
One Global Service Provider Ltd.,,514330,ONEGLOBAL,INE670O01013,Healthcare Services,Healthcare,576.35,77.96,45.67,44283.38,1126.36,76.69,86.25,49879058.05,86.25,13.04,86.25,68.25,75,-2.1,-4.99,53.69,Export NA,0.07
One Mobikwik Systems Ltd.,MOBIKWIK,544305,MOBIKWIK,INE0HLU01028,Internet Software & Services,Software & Services,232.55,30.6,11.17,113755.92,1829.2,42.45,,208082716.9,,-9.85,,-11.54,30,-0.57,-1.61,-0.42,Export NA,0
One Point One Solutions Ltd.,ONEPOINT,,ONEPOINT,INE840Y01029,BPO/KPO,Software & Services,52.78,47.72,39.33,46399.35,1387.7,51.97,11.38,64388222.08,11.38,-0.08,11.38,13.8,45,-0.25,0.57,2.69,Export NA,0.5
Onix Solar Energy Ltd.,,513119,ONIXSOLAR,INE173M01012,Commodity Trading  & Distribution,Commercial Services & Supplies,290.25,34.97,33,4269.08,594.84,36.78,100,2539397.25,100,-0.55,100,-7.75,60,0.23,2.96,94.23,Export NA,0.4
Onward Technologies Ltd.,ONWARDTEC,517536,ONWARDTEC,INE229A01017,IT Consulting & Software,Software & Services,283.5,47.57,55,6795.06,644.76,41.34,17.99,4381209,17.99,3.32,17.99,-11.48,70,1.14,-3.03,4.37,Export NA,0.22
Orbit Exports Ltd.,ORBTEXP,512626,ORBTEXP,INE231G01010,Textiles,Textiles Apparels & Accessories,204.48,48.47,46.5,4347.6,542.1,57.18,49.89,2356836.48,49.89,-3.76,49.89,-4.34,65,1.69,-0.91,-13.07,Export NA,3.6
Oricon Enterprises Ltd.,ORICONENT,513121,ORICONENT,INE730A01022,Containers & Packaging,Commercial Services & Supplies,58.88,69.41,29,4519.9,924.7,68.78,80.8,4179537.92,80.8,1.53,80.8,9.85,70,0.7,0.02,-75.36,Export NA,-0.45
Orient Bell Ltd.,ORIENTBELL,530365,ORIENTBELL,INE607D01018,Ceramics,Consumer Durables,291.6,55.11,60.83,3196.59,427.19,45.12,62.89,1365562.8,62.89,3.83,62.89,-4.49,85,1.22,0.55,15.53,Export NA,0.07
Orient Ceratech Ltd.,ORIENTCER,504879,ORIENTCER,INE569C01020,Electrodes & Refractories,General Industrials,41.86,65.16,47,8606.13,500.81,62.27,16.98,4310031.18,16.98,1.21,16.98,12.68,75,0.86,-3.97,15.34,Export NA,1.59
