Ticker,MarketCap_Cr
GULPOLY.NS,865.64
HCL-INSYS.NS,456.28
HLVLTD.NS,634.21
HMAAGRO.NS,1498.8
HPAL.NS,417.66
HPTL.NS,351.48
HTMEDIA.NS,559.29
HVAX.NS,230.48
HALEOSLABS.NS,421.3
HARDWYN.NS,866.97
HARIOMPIPE.NS,1062.33
HARRMALAYA.NS,321.4
HERANBA.NS,1023.55
HERCULES.NS,540.7
HESTERBIO.NS,1406.96
HEUBACHIND.NS,1051.72
HEXATRADEX.NS,915.74
HIGREEN.NS,385.72
HILINFRA.NS,476.3
HIMATSEIDE.NS,1575.8
HINDCOMPOS.NS,657.52
HMVL.NS,490.36
HINDOILEXP.NS,1911.84
HITECHCORP.NS,320.67
HUHTAMAKI.NS,1654.99
IGPL.NS,1196.84
ICEMAKE.NS,1118.15
IFBAGRO.NS,1271.96
IFGLEXPOR.NS,1579.24
IKIO.NS,1462.38
IL&FSENGG.NS,389.69
IVC.NS,254.05
IRIS.NS,657.46
IRISDOREME.NS,623.53
IRMENERGY.NS,1187.45
IZMO.NS,1342.31
IGARASHI.NS,1489.71
INDSWFTLAB.NS,795.55
BAJAJINDEF.NS,1073.6
IMPAL.NS,1305.91
INDNIPPON.NS,1938.54
DPSCLTD.NS,1078.96
INDOAMIN.NS,899.51
INDOBORAX.NS,773.53
INDOFARM.NS,1001.64
NIPPOBATRY.NS,321.64
INDORAMA.NS,1337.94
INDOTECH.NS,1795.84
IGCL.NS,558.71
INDOWIND.NS,288.68
IITL.NS,383.85
INFINIUM.NS,347.42
INFLUX.NS,541.26
INFOBEAN.NS,1475.15
INFOLLION.NS,368.93
INNOVANA.NS,959.45
INSPIRISYS.NS,377.71
IPSL.NS,248.77
INTENTECH.NS,309.83
INM.NS,391.74
INTLCONV.NS,552.98
IVALUE.NS,1609.94
IWARE.NS,245.45
JGCHEM.NS,1561.57
JITFINFRA.NS,768.93
JNKINDIA.NS,1385.42
JAGRAN.NS,1522.93
JAGSNPHARM.NS,1439.27
JAINAM.NS,322.06
JPASSOCIAT.NS,773.2
JARO.NS,1453.01
JAYBEE.NS,296.2
JAYBARMARU.NS,971.98
KORE.NS,207.16
JAYSREETEA.NS,255.07
JAYAGROGN.NS,639.81
JEYYAM.NS,324.17
JINDRILL.NS,1608.16
JINDALPHOT.NS,1504.07
JPOLYINVST.NS,1087.35
JKIPL.NS,441.48
JYOTISTRUC.NS,1347.69
KCPSUGIND.NS,309.65
KMSUGAR.NS,250.88
KNAGRI.NS,494.23
KABRAEXTRU.NS,821.06
KALYANIFRG.NS,234.0
KAMATHOTEL.NS,715.19
KAMDHENU.NS,735.71
KAMOPAINTS.NS,223.82
KANORICHEM.NS,328.62
KANPRPLA.NS,480.87
KAPSTON.NS,616.05
KARNIKA.NS,842.55
KATARIA.NS,210.9
KCEIL.NS,216.98
KAYA.NS,606.29
KELLTONTEC.NS,1001.76
KERNEX.NS,1897.67
KHADIM.NS,378.69
KHAICHEM.NS,816.94
KILITCH.NS,598.02
KECL.NS,701.6
KODYTECH.NS,1172.65
KOKUYOCMLN.NS,951.58
KOPRAN.NS,649.39
KDL.NS,205.55
KOTHARIPET.NS,763.83
KOTHARIPRO.NS,466.82
KOTARISUG.NS,242.2
KOTYARK.NS,236.42
KRISHCA.NS,279.2
KRISHIVAL.NS,1069.94
KRISHNADEF.NS,1173.53
KRITI.NS,478.64
KRONOX.NS,530.14
KROSS.NS,1084.98
KRYSTAL.NS,765.53
KSOLVES.NS,731.99
KUANTUM.NS,853.87
LAXMIDENTL.NS,1522.72
LGHL.NS,1437.91
LAXMIINDIA.NS,725.84
LEMERITE.NS,1241.92
LIBERTSHOE.NS,508.22
LIKHITHA.NS,762.77
LINC.NS,733.86
LINCOLN.NS,1025.42
LOKESHMACH.NS,316.61
LOTUSEYE.NS,219.71
LYKALABS.NS,287.02
MKPL.NS,236.11
MMFL.NS,1579.05
MBLINFRA.NS,555.21
MICEL.NS,1076.84
MIRCELECTR.NS,919.05
MMP.NS,645.1
MOS.NS,598.55
MVKAGRO.NS,1165.31
MAANALU.NS,866.71
MACOBSTECH.NS,207.66
MACPOWER.NS,978.96
MADRASFERT.NS,1254.5
MAGADSUGAR.NS,711.2
MHLXMIRU.NS,230.74
MAHASTEEL.NS,1212.04
MAHEPC.NS,360.15
MALLCOM.NS,782.5
MAMATA.NS,1042.88
MANAKCOAT.NS,1541.37
MANAKSIA.NS,417.91
MANAKSTEEL.NS,409.85
MANALIPETC.NS,1120.75
MANBA.NS,690.89
MEIL.NS,1104.1
MANGLMCEM.NS,1941.86
MGEL.NS,501.91
MANORG.NS,424.32
MWL.NS,737.08
MVGJL.NS,923.75
MASON.NS,492.92
MATRIMONY.NS,1054.77
MAWANASUG.NS,327.33
MAXIND.NS,1050.65
MAXVOLT.NS,509.05
MAZDA.NS,474.39
MCLEODRUSS.NS,559.46
MEDICAMEQ.NS,558.32
MEDICO.NS,432.43
MEGASOFT.NS,1532.5
MEGASTAR.NS,276.98
MEGATHERM.NS,439.93
MOL.NS,1732.39
MENONBE.NS,609.6
MINDTECK.NS,672.32
MIRZAINT.NS,533.32
MODIRUBBER.NS,275.72
MODISONLTD.NS,459.62
MOLDTECH.NS,478.88
MONOLITH.NS,1191.57
MONTECARLO.NS,1593.88
MOTISONS.NS,1685.4
MUKANDLTD.NS,1938.26
MUKKA.NS,758.7
MUNISH.NS,262.97
MUNJALAU.NS,838.2
MUNJALSHOW.NS,512.58
MURUDCERA.NS,220.2
RADIOCITY.NS,228.84
MUTHOOTCAP.NS,447.62
NRAIL.NS,794.03
NBIFIN.NS,681.38
NCLIND.NS,903.12
NDLVENTURE.NS,332.78
NGLFINE.NS,828.41
NIITLTD.NS,1311.46
NDGL.NS,347.32
NAGAFERT.NS,274.51
NAHARCAP.NS,446.62
NAHARINDUS.NS,496.17
NAHARPOLY.NS,638.06
NAHARSPING.NS,731.33
NAMOEWASTE.NS,427.74
NDL.NS,448.3
NATHBIOGEN.NS,297.22
NAVKARCORP.NS,1503.54
NECLIFE.NS,381.02
NELCAST.NS,1008.69
NELCO.NS,1930.32
NEPHROCARE.NS,225.12
NEPTUNE.NS,366.31
NDTV.NS,969.62
NIKITA.NS,299.96
NILAINFRA.NS,394.28
NILASPACES.NS,671.58
NIRAJ.NS,221.64
NITINSPIN.NS,1850.2
NECCLTD.NS,200.9
NOVAAGRI.NS,398.11
NRL.NS,427.74
NURECA.NS,289.61
OBSCP.NS,839.45
OILCOUNTUB.NS,339.34
OMFREIGHT.NS,320.96
OMINFRAL.NS,1051.54
OMAXE.NS,1274.08
ONMOBILE.NS,611.35
MOBIKWIK.NS,1829.2
ONEPOINT.NS,1387.7
ONWARDTEC.NS,644.76
ORBTEXP.NS,542.1
ORICONENT.NS,924.7
ORIENTBELL.NS,427.19
ORIENTCER.NS,500.81
GREENPOWER.NS,1502.65
ORIENTPPR.NS,488.24
ORIENTTECH.NS,1492.02
OAL.NS,1048.98
OSELDEVICE.NS,1399.91
OSIAHYPER.NS,324.37
OSWALAGRO.NS,829.57
OSWALGREEN.NS,888.05
OWAIS.NS,605.56
PROPEQUITY.NS,201.26
PSRAJ.NS,222.38
PNBGILTS.NS,1508.48
PPAP.NS,335.41
PTL.NS,528.71
PVP.NS,965.58
PAKKA.NS,525.85
PANACHE.NS,599.98
PANAMAPET.NS,1784.56
PANSARI.NS,523.06
PARACABLES.NS,1203.05
PARIN.NS,657.8
PARSVNATH.NS,585.75
PARTH.NS,331.65
PASHUPATI.NS,1279.61
PASUPTAC.NS,536.31
PATELRMART.NS,867.78
PATILAUTOM.NS,453.11
PAVNAIND.NS,414.13
PELATRO.NS,383.59
PENINLAND.NS,980.92
PCCL.NS,452.5
PHANTOMFX.NS,391.98
PILITA.NS,252.62
PIXTRANS.NS,1986.42
PLASTIBLEN.NS,440.83
PLATIND.NS,1479.68
PODDARMENT.NS,269.97
POLYSIL.NS,771.92
PONNIERODE.NS,246.52
PVSL.NS,956.69
PIGL.NS,273.68
PRAENG.NS,215.96
PPL.NS,593.54
PRAMARA.NS,493.0
PRATHAM.NS,283.93
PRECAM.NS,1658.93
PRECOT.NS,521.28
PREMIERPOL.NS,480.14
PRIMESECU.NS,1030.74
PRITIKAUTO.NS,242.11
PRIZOR.NS,325.97
PROSTARM.NS,1018.82
PROV.NS,434.28
PROZONER.NS,824.06
PDMJEPAPER.NS,968.4
PUNJABCHEM.NS,1735.1
PURPLEUTED.NS,472.61
PUSHPA.NS,287.04
QUADFUTURE.NS,1218.0
QUICKHEAL.NS,1666.09
RKSWAMY.NS,615.06
RBMINFRA.NS,489.12
RBZJEWEL.NS,555.12
RNFI.NS,892.81
RPPINFRA.NS,517.88
RSWM.NS,741.95
RADHIKAJWE.NS,945.89
RADIANTCMS.NS,567.37
RAJRILTD.NS,1250.07
RAJTV.NS,218.61
RAMAPHO.NS,623.69
RAMASTEEL.NS,1621.32
RBS.NS,240.04
RANASUG.NS,203.17
RATNAVEER.NS,813.19
RVHL.NS,342.14
REGAAL.NS,798.26
RCOM.NS,351.22
RIIL.NS,1310.83
REMSONSIND.NS,423.99
REMUS.NS,813.1
RGL.NS,1287.65
REPRO.NS,677.53
RVTH.NS,236.69
RICOAUTO.NS,1635.33
RISHABH.NS,1639.37
RITCO.NS,779.3
RHL.NS,381.47
ROSSELLIND.NS,219.73
ROTO.NS,1168.74
ROHLTD.NS,1152.96
RUBYMILLS.NS,746.01
RUCHIRA.NS,362.02
REPL.NS,231.77
RUPA.NS,1394.3
RUSHIL.NS,686.01
S&SPOWER.NS,300.09
SCHAND.NS,598.36
SJLOGISTIC.NS,651.18
SPAL.NS,1964.37
SALSTEEL.NS,425.1
SARTELE.NS,965.94
SBC.NS,1260.47
SEPC.NS,1773.98
SILINV.NS,584.52
SKMEGGPROD.NS,1113.36
SKP.NS,324.86
SMCGLOBAL.NS,1294.3
SPMLINFRA.NS,1484.31
SRM.NS,1311.72
STEL.NS,913.45
STLNETWORK.NS,1141.25
SAAKSHI.NS,314.98
SACHEEROME.NS,803.97
SAFEENTP.NS,1418.64
SAHAJSOLAR.NS,374.84
SAHANA.NS,851.37
SAHASRA.NS,816.01
SAKAR.NS,835.37
SAKHTISUG.NS,230.69
SAKUMA.NS,374.7
SALASAR.NS,1711.24
SALZERELEC.NS,1260.16
SANDESH.NS,837.02
SANGHIIND.NS,1643.99
SANSTAR.NS,1677.74
SSDL.NS,324.36
SARLAPOLY.NS,762.47
SARVESHWAR.NS,559.07
SASTASUNDR.NS,1044.5
SATKARTAR.NS,281.52
SSEGL.NS,1312.05
SATIA.NS,675.8
SATIN.NS,1698.27
SAVY.NS,378.71
SAWALIYA.NS,280.98
SCODATUBES.NS,1013.48
SEJALLTD.NS,938.95
SESHAPAPER.NS,1530.66
SETCO.NS,213.76
SHAH.NS,358.51
SHALPAINTS.NS,559.11
SHANKARA.NS,284.52
SHANTIGOLD.NS,1534.49
SHEMAROO.NS,310.8
SHERA.NS,320.15
SHIVAUM.NS,387.61
SHIVATEX.NS,246.6
SHIVALIK.NS,638.68
SHIVAMAUTO.NS,379.63
SHIVASHRIT.NS,241.06
SHRADHA.NS,353.07
SHREDIGCEM.NS,1332.3
SHREEKARNI.NS,383.49
SHREEPUSHK.NS,1295.45
SHREERAMA.NS,718.86
RAMANEWS.NS,445.66
BALAJEE.NS,334.85
TIRUPATI.NS,827.62
SVLL.NS,802.66
SHETHJI.NS,263.79
SHREYANIND.NS,251.21
SHRIAHIMSA.NS,634.0
SHRIRAMPPS.NS,1505.51
SHUBHSHREE.NS,220.16
SICALLOG.NS,593.77
SIGACHI.NS,1459.3
SIGMA.NS,542.34
SIGNPOST.NS,1196.37
SIKKO.NS,238.93
SILVERTUC.NS,990.7
SINTERCOM.NS,312.03
SNOWMAN.NS,720.98
SOFTTECH.NS,480.18
SOLEX.NS,1921.55
SOMATEX.NS,398.21
SOMANYCERA.NS,1731.77
SOUTHWEST.NS,631.53
SPIC.NS,1711.19
SPCENET.NS,459.11
SPECIALITY.NS,606.08
SPENCERS.NS,416.59
SPORTKING.NS,1198.8
SPUNWEB.NS,374.33
SRHHYPOLTD.NS,906.82
SREEL.NS,532.24
STALLION.NS,1340.2
STANLEY.NS,1280.47
STARPAPER.NS,254.57
STARTECK.NS,286.95
STCINDIA.NS,709.32
STEELXIND.NS,1098.8
STERTOOLS.NS,1017.14
SUBAHOTELS.NS,393.94
SUBEXLTD.NS,677.21
SULA.NS,1973.53
SUMEETINDS.NS,1700.56
SUMIT.NS,338.02
SUNDRMBRAK.NS,291.22
SUNLITE.NS,314.92
SUPREMEINF.NS,242.64
SUPREMEPWR.NS,547.68
SURAJEST.NS,1292.75
SURAKSHA.NS,1524.41
SURANAT&P.NS,272.2
SURYODAY.NS,1501.98
SUTLEJTEX.NS,561.93
SWARAJ.NS,594.27
SWELECTES.NS,1066.12
SGIL.NS,860.54
SYSTANGO.NS,546.41
TTL.NS,238.42
TAC.NS,1674.43
TIL.NS,1809.25
TPLPLASTEH.NS,534.79
TRF.NS,341.03
TTKHLTCARE.NS,1573.83
TVTODAY.NS,825.87
TVSELECT.NS,1022.13
TAKE.NS,458.45
TALBROAUTO.NS,1727.16
TNPL.NS,996.36
TNPETRO.NS,940.38
TANKUP.NS,384.47
TARACHAND.NS,602.06
TARSONS.NS,1199.54
TAURIAN.NS,217.28
TEAMGTY.NS,238.32
TECHD.NS,578.93
TECHERA.NS,391.21
TEJASCARGO.NS,700.54
TEMBO.NS,1207.71
TERASOFT.NS,641.36
